EventID,EmployeeID,EntityID,EmployeeName,PayDate,GrossEarnings,QualifyingEarnings_CodeQ,SuperLiability_CodeL,SuperFundUSI,SuperFundName,RemittanceDate,FundReceiptDate,StatutoryDueDate,ComplianceStatus,SGC_Shortfall,GIC_NominalInterest
STP5029,EMP101,ENT001,A. Vance,2027-02-10,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-02-12,2027-02-16,2027-02-19,ON_TIME,0.00,0.00
STP5030,EMP101,ENT001,A. Vance,2027-02-24,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-02-26,2027-03-02,2027-03-05,ON_TIME,0.00,0.00
STP5031,EMP101,ENT001,A. Vance,2027-03-10,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-03-12,2027-03-24,2027-03-19,LATE_BREACH,1.68,1.05
STP5032,EMP101,ENT001,A. Vance,2027-03-24,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-03-26,2027-04-01,2027-04-06,ON_TIME,0.00,0.00
STP5033,EMP101,ENT001,A. Vance,2027-04-07,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-04-09,2027-04-13,2027-04-16,ON_TIME,0.00,0.00
STP5034,EMP101,ENT001,A. Vance,2027-04-21,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-04-23,2027-04-28,2027-05-03,ON_TIME,0.00,0.00
STP5035,EMP101,ENT001,A. Vance,2027-05-05,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-05-07,2027-05-11,2027-05-14,ON_TIME,0.00,0.00
STP5036,EMP101,ENT001,A. Vance,2027-05-19,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-05-21,2027-05-25,2027-05-28,ON_TIME,0.00,0.00
STP5037,EMP101,ENT001,A. Vance,2027-06-02,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-06-04,2027-06-08,2027-06-11,ON_TIME,0.00,0.00
STP5038,EMP101,ENT001,A. Vance,2027-06-16,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-06-18,2027-06-22,2027-06-25,ON_TIME,0.00,0.00
STP5039,EMP101,ENT001,A. Vance,2027-06-30,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-07-02,2027-07-06,2027-07-09,ON_TIME,0.00,0.00
STP5040,EMP102,ENT001,B. Sterling,2026-01-14,4423.08,4423.08,530.77,16457520308001,ART Super,2026-01-16,2026-01-20,2026-04-28,ON_TIME,0.00,0.00
STP5041,EMP102,ENT001,B. Sterling,2026-01-28,4423.08,4423.08,530.77,16457520308001,ART Super,2026-01-30,2026-02-03,2026-04-28,ON_TIME,0.00,0.00
STP5042,EMP102,ENT001,B. Sterling,2026-02-11,4423.08,4423.08,530.77,16457520308001,ART Super,2026-02-13,2026-02-17,2026-04-28,ON_TIME,0.00,0.00
STP5043,EMP102,ENT001,B. Sterling,2026-02-25,4423.08,4423.08,530.77,16457520308001,ART Super,2026-02-27,2026-03-03,2026-04-28,ON_TIME,0.00,0.00
STP5044,EMP102,ENT001,B. Sterling,2026-03-11,4423.08,4423.08,530.77,16457520308001,ART Super,2026-03-13,2026-03-17,2026-04-28,ON_TIME,0.00,0.00
STP5045,EMP102,ENT001,B. Sterling,2026-03-25,4423.08,4423.08,530.77,16457520308001,ART Super,2026-03-27,2026-03-31,2026-04-28,ON_TIME,0.00,0.00
STP5046,EMP102,ENT001,B. Sterling,2026-04-08,4423.08,4423.08,530.77,16457520308001,ART Super,2026-04-10,2026-04-14,2026-07-28,ON_TIME,0.00,0.00
STP5047,EMP102,ENT001,B. Sterling,2026-04-22,4423.08,4423.08,530.77,16457520308001,ART Super,2026-04-24,2026-04-28,2026-07-28,ON_TIME,0.00,0.00
STP5048,EMP102,ENT001,B. Sterling,2026-05-06,4423.08,4423.08,530.77,16457520308001,ART Super,2026-05-08,2026-05-12,2026-07-28,ON_TIME,0.00,0.00
STP5049,EMP102,ENT001,B. Sterling,2026-05-20,4423.08,4423.08,530.77,16457520308001,ART Super,2026-05-22,2026-05-26,2026-07-28,ON_TIME,0.00,0.00
STP5050,EMP102,ENT001,B. Sterling,2026-06-03,4423.08,4423.08,530.77,16457520308001,ART Super,2026-06-05,2026-06-10,2026-07-28,ON_TIME,0.00,0.00
STP5051,EMP102,ENT001,B. Sterling,2026-06-17,4423.08,4423.08,530.77,16457520308001,ART Super,2026-06-19,2026-06-23,2026-07-28,ON_TIME,0.00,0.00
STP5052,EMP102,ENT001,B. Sterling,2026-07-01,4423.08,4423.08,530.77,16457520308001,ART Super,2026-07-03,2026-07-07,2026-07-10,ON_TIME,0.00,0.00
STP5053,EMP102,ENT001,B. Sterling,2026-07-15,4423.08,4423.08,530.77,16457520308001,ART Super,2026-07-17,2026-07-21,2026-07-24,ON_TIME,0.00,0.00
STP5054,EMP102,ENT001,B. Sterling,2026-07-29,4423.08,4423.08,530.77,16457520308001,ART Super,2026-07-31,2026-08-04,2026-08-07,ON_TIME,0.00,0.00
STP5055,EMP102,ENT001,B. Sterling,2026-08-12,4423.08,4423.08,530.77,16457520308001,ART Super,2026-08-14,2026-08-18,2026-08-21,ON_TIME,0.00,0.00
STP5056,EMP102,ENT001,B. Sterling,2026-08-26,4423.08,4423.08,530.77,16457520308001,ART Super,2026-08-28,2026-09-01,2026-09-04,ON_TIME,0.00,0.00
STP5057,EMP102,ENT001,B. Sterling,2026-09-09,4423.08,4423.08,530.77,16457520308001,ART Super,2026-09-11,2026-09-23,2026-09-18,LATE_BREACH,1.33,0.83
STP5058,EMP102,ENT001,B. Sterling,2026-09-23,4423.08,4423.08,530.77,16457520308001,ART Super,2026-09-25,2026-09-29,2026-10-02,ON_TIME,0.00,0.00
STP5059,EMP102,ENT001,B. Sterling,2026-10-07,4423.08,4423.08,530.77,16457520308001,ART Super,2026-10-09,2026-10-13,2026-10-16,ON_TIME,0.00,0.00
STP5060,EMP102,ENT001,B. Sterling,2026-10-21,4423.08,4423.08,530.77,16457520308001,ART Super,2026-10-23,2026-10-27,2026-10-30,ON_TIME,0.00,0.00
STP5061,EMP102,ENT001,B. Sterling,2026-11-04,4423.08,4423.08,530.77,16457520308001,ART Super,2026-11-06,2026-11-10,2026-11-13,ON_TIME,0.00,0.00
STP5062,EMP102,ENT001,B. Sterling,2026-11-18,4423.08,4423.08,530.77,16457520308001,ART Super,2026-11-20,2026-11-24,2026-11-27,ON_TIME,0.00,0.00
STP5063,EMP102,ENT001,B. Sterling,2026-12-02,4423.08,4423.08,530.77,16457520308001,ART Super,2026-12-04,2026-12-08,2026-12-11,ON_TIME,0.00,0.00
STP5064,EMP102,ENT001,B. Sterling,2026-12-16,4423.08,4423.08,530.77,16457520308001,ART Super,2026-12-18,2026-12-22,2026-12-29,ON_TIME,0.00,0.00
STP5065,EMP102,ENT001,B. Sterling,2026-12-30,4423.08,4423.08,530.77,16457520308001,ART Super,2027-01-01,2027-01-06,2027-01-11,ON_TIME,0.00,0.00
STP5066,EMP102,ENT001,B. Sterling,2027-01-13,4423.08,4423.08,530.77,16457520308001,ART Super,2027-01-15,2027-01-19,2027-01-22,ON_TIME,0.00,0.00
STP5067,EMP102,ENT001,B. Sterling,2027-01-27,4423.08,4423.08,530.77,16457520308001,ART Super,2027-01-29,2027-02-02,2027-02-05,ON_TIME,0.00,0.00
STP5068,EMP102,ENT001,B. Sterling,2027-02-10,4423.08,4423.08,530.77,16457520308001,ART Super,2027-02-12,2027-02-16,2027-02-19,ON_TIME,0.00,0.00
STP5069,EMP102,ENT001,B. Sterling,2027-02-24,4423.08,4423.08,530.77,16457520308001,ART Super,2027-02-26,2027-03-02,2027-03-05,ON_TIME,0.00,0.00
STP5070,EMP102,ENT001,B. Sterling,2027-03-10,4423.08,4423.08,530.77,16457520308001,ART Super,2027-03-12,2027-03-24,2027-03-19,LATE_BREACH,1.33,0.83
STP5071,EMP102,ENT001,B. Sterling,2027-03-24,4423.08,4423.08,530.77,16457520308001,ART Super,2027-03-26,2027-04-01,2027-04-06,ON_TIME,0.00,0.00
STP5072,EMP102,ENT001,B. Sterling,2027-04-07,4423.08,4423.08,530.77,16457520308001,ART Super,2027-04-09,2027-04-13,2027-04-16,ON_TIME,0.00,0.00
STP5073,EMP102,ENT001,B. Sterling,2027-04-21,4423.08,4423.08,530.77,16457520308001,ART Super,2027-04-23,2027-04-28,2027-05-03,ON_TIME,0.00,0.00
STP5074,EMP102,ENT001,B. Sterling,2027-05-05,4423.08,4423.08,530.77,16457520308001,ART Super,2027-05-07,2027-05-11,2027-05-14,ON_TIME,0.00,0.00
STP5075,EMP102,ENT001,B. Sterling,2027-05-19,4423.08,4423.08,530.77,16457520308001,ART Super,2027-05-21,2027-05-25,2027-05-28,ON_TIME,0.00,0.00
STP5076,EMP102,ENT001,B. Sterling,2027-06-02,4423.08,4423.08,530.77,16457520308001,ART Super,2027-06-04,2027-06-08,2027-06-11,ON_TIME,0.00,0.00
STP5077,EMP102,ENT001,B. Sterling,2027-06-16,4423.08,4423.08,530.77,16457520308001,ART Super,2027-06-18,2027-06-22,2027-06-25,ON_TIME,0.00,0.00
STP5078,EMP102,ENT001,B. Sterling,2027-06-30,4423.08,4423.08,530.77,16457520308001,ART Super,2027-07-02,2027-07-06,2027-07-09,ON_TIME,0.00,0.00
STP5079,EMP201,ENT002,C. Miller,2026-01-07,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-01-09,2026-01-13,2026-04-28,ON_TIME,0.00,0.00
STP5080,EMP201,ENT002,C. Miller,2026-01-14,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-01-16,2026-01-20,2026-04-28,ON_TIME,0.00,0.00
STP5081,EMP201,ENT002,C. Miller,2026-01-21,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-01-23,2026-01-28,2026-04-28,ON_TIME,0.00,0.00
STP5082,EMP201,ENT002,C. Miller,2026-01-28,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-01-30,2026-02-03,2026-04-28,ON_TIME,0.00,0.00
STP5083,EMP201,ENT002,C. Miller,2026-02-04,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-02-06,2026-02-10,2026-04-28,ON_TIME,0.00,0.00
STP5084,EMP201,ENT002,C. Miller,2026-02-11,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-02-13,2026-02-17,2026-04-28,ON_TIME,0.00,0.00
STP5085,EMP201,ENT002,C. Miller,2026-02-18,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-02-20,2026-02-24,2026-04-28,ON_TIME,0.00,0.00
STP5086,EMP201,ENT002,C. Miller,2026-02-25,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-02-27,2026-03-03,2026-04-28,ON_TIME,0.00,0.00
STP5087,EMP201,ENT002,C. Miller,2026-03-04,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-03-06,2026-03-10,2026-04-28,ON_TIME,0.00,0.00
STP5088,EMP201,ENT002,C. Miller,2026-03-11,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-03-13,2026-03-17,2026-04-28,ON_TIME,0.00,0.00
STP5089,EMP201,ENT002,C. Miller,2026-03-18,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-03-20,2026-03-24,2026-04-28,ON_TIME,0.00,0.00
STP5090,EMP201,ENT002,C. Miller,2026-03-25,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-03-27,2026-03-31,2026-04-28,ON_TIME,0.00,0.00
STP5091,EMP201,ENT002,C. Miller,2026-04-01,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-04-03,2026-04-09,2026-07-28,ON_TIME,0.00,0.00
STP5092,EMP201,ENT002,C. Miller,2026-04-08,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-04-10,2026-04-14,2026-07-28,ON_TIME,0.00,0.00
STP5093,EMP201,ENT002,C. Miller,2026-04-15,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-04-17,2026-04-21,2026-07-28,ON_TIME,0.00,0.00
STP5094,EMP201,ENT002,C. Miller,2026-04-22,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-04-24,2026-04-28,2026-07-28,ON_TIME,0.00,0.00
STP5095,EMP201,ENT002,C. Miller,2026-04-29,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-05-01,2026-05-05,2026-07-28,ON_TIME,0.00,0.00
STP5096,EMP201,ENT002,C. Miller,2026-05-06,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-05-08,2026-05-12,2026-07-28,ON_TIME,0.00,0.00
STP5097,EMP201,ENT002,C. Miller,2026-05-13,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-05-15,2026-05-19,2026-07-28,ON_TIME,0.00,0.00
STP5098,EMP201,ENT002,C. Miller,2026-05-20,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-05-22,2026-05-26,2026-07-28,ON_TIME,0.00,0.00
STP5099,EMP201,ENT002,C. Miller,2026-05-27,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-05-29,2026-06-02,2026-07-28,ON_TIME,0.00,0.00
STP5100,EMP201,ENT002,C. Miller,2026-06-03,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-06-05,2026-06-10,2026-07-28,ON_TIME,0.00,0.00
STP5101,EMP201,ENT002,C. Miller,2026-06-10,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-06-12,2026-06-16,2026-07-28,ON_TIME,0.00,0.00
STP5102,EMP201,ENT002,C. Miller,2026-06-17,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-06-19,2026-06-23,2026-07-28,ON_TIME,0.00,0.00
STP5103,EMP201,ENT002,C. Miller,2026-06-24,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-06-26,2026-06-30,2026-07-28,ON_TIME,0.00,0.00
STP5104,EMP201,ENT002,C. Miller,2026-07-01,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-07-03,2026-07-07,2026-07-10,ON_TIME,0.00,0.00
STP5105,EMP201,ENT002,C. Miller,2026-07-08,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-07-10,2026-07-14,2026-07-17,ON_TIME,0.00,0.00
STP5106,EMP201,ENT002,C. Miller,2026-07-15,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-07-17,2026-07-21,2026-07-24,ON_TIME,0.00,0.00
STP5107,EMP201,ENT002,C. Miller,2026-07-22,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-07-24,2026-07-28,2026-07-31,ON_TIME,0.00,0.00
STP5108,EMP201,ENT002,C. Miller,2026-07-29,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-07-31,2026-08-04,2026-08-07,ON_TIME,0.00,0.00
STP5109,EMP201,ENT002,C. Miller,2026-08-05,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-08-07,2026-08-19,2026-08-14,LATE_BREACH,0.40,0.25
STP5110,EMP201,ENT002,C. Miller,2026-08-12,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-08-14,2026-08-18,2026-08-21,ON_TIME,0.00,0.00
STP5111,EMP201,ENT002,C. Miller,2026-08-19,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-08-21,2026-08-25,2026-08-28,ON_TIME,0.00,0.00
STP5112,EMP201,ENT002,C. Miller,2026-08-26,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-08-28,2026-09-01,2026-09-04,ON_TIME,0.00,0.00
STP5113,EMP201,ENT002,C. Miller,2026-09-02,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-09-04,2026-09-08,2026-09-11,ON_TIME,0.00,0.00
STP5114,EMP201,ENT002,C. Miller,2026-09-09,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-09-11,2026-09-15,2026-09-18,ON_TIME,0.00,0.00
STP5115,EMP201,ENT002,C. Miller,2026-09-16,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-09-18,2026-09-22,2026-09-25,ON_TIME,0.00,0.00
STP5116,EMP201,ENT002,C. Miller,2026-09-23,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-09-25,2026-09-29,2026-10-02,ON_TIME,0.00,0.00
STP5117,EMP201,ENT002,C. Miller,2026-09-30,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-10-02,2026-10-06,2026-10-09,ON_TIME,0.00,0.00
STP5118,EMP201,ENT002,C. Miller,2026-10-07,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-10-09,2026-10-13,2026-10-16,ON_TIME,0.00,0.00
STP5119,EMP201,ENT002,C. Miller,2026-10-14,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-10-16,2026-10-20,2026-10-23,ON_TIME,0.00,0.00
STP5120,EMP201,ENT002,C. Miller,2026-10-21,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-10-23,2026-10-27,2026-10-30,ON_TIME,0.00,0.00
STP5121,EMP201,ENT002,C. Miller,2026-10-28,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-10-30,2026-11-03,2026-11-06,ON_TIME,0.00,0.00
STP5122,EMP201,ENT002,C. Miller,2026-11-04,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-11-06,2026-11-18,2026-11-13,LATE_BREACH,0.40,0.25
STP5123,EMP201,ENT002,C. Miller,2026-11-11,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-11-13,2026-11-17,2026-11-20,ON_TIME,0.00,0.00
STP5124,EMP201,ENT002,C. Miller,2026-11-18,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-11-20,2026-11-24,2026-11-27,ON_TIME,0.00,0.00
STP5125,EMP201,ENT002,C. Miller,2026-11-25,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-11-27,2026-12-01,2026-12-04,ON_TIME,0.00,0.00
STP5126,EMP201,ENT002,C. Miller,2026-12-02,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-12-04,2026-12-08,2026-12-11,ON_TIME,0.00,0.00
STP5127,EMP201,ENT002,C. Miller,2026-12-09,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-12-11,2026-12-15,2026-12-18,ON_TIME,0.00,0.00
STP5128,EMP201,ENT002,C. Miller,2026-12-16,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-12-18,2026-12-22,2026-12-29,ON_TIME,0.00,0.00
STP5129,EMP201,ENT002,C. Miller,2026-12-23,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2026-12-25,2026-12-31,2027-01-06,ON_TIME,0.00,0.00
STP5130,EMP201,ENT002,C. Miller,2026-12-30,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-01-01,2027-01-06,2027-01-11,ON_TIME,0.00,0.00
STP5131,EMP201,ENT002,C. Miller,2027-01-06,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-01-08,2027-01-12,2027-01-15,ON_TIME,0.00,0.00
STP5132,EMP201,ENT002,C. Miller,2027-01-13,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-01-15,2027-01-19,2027-01-22,ON_TIME,0.00,0.00
STP5133,EMP201,ENT002,C. Miller,2027-01-20,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-01-22,2027-01-27,2027-02-01,ON_TIME,0.00,0.00
STP5134,EMP201,ENT002,C. Miller,2027-01-27,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-01-29,2027-02-02,2027-02-05,ON_TIME,0.00,0.00
STP5135,EMP201,ENT002,C. Miller,2027-02-03,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-02-05,2027-02-17,2027-02-12,LATE_BREACH,0.40,0.25
STP5136,EMP201,ENT002,C. Miller,2027-02-10,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-02-12,2027-02-16,2027-02-19,ON_TIME,0.00,0.00
STP5137,EMP201,ENT002,C. Miller,2027-02-17,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-02-19,2027-02-23,2027-02-26,ON_TIME,0.00,0.00
STP5138,EMP201,ENT002,C. Miller,2027-02-24,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-02-26,2027-03-02,2027-03-05,ON_TIME,0.00,0.00
STP5139,EMP201,ENT002,C. Miller,2027-03-03,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-03-05,2027-03-09,2027-03-12,ON_TIME,0.00,0.00
STP5140,EMP201,ENT002,C. Miller,2027-03-10,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-03-12,2027-03-16,2027-03-19,ON_TIME,0.00,0.00
STP5141,EMP201,ENT002,C. Miller,2027-03-17,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-03-19,2027-03-23,2027-03-30,ON_TIME,0.00,0.00
STP5142,EMP201,ENT002,C. Miller,2027-03-24,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-03-26,2027-04-01,2027-04-06,ON_TIME,0.00,0.00
STP5143,EMP201,ENT002,C. Miller,2027-03-31,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-04-02,2027-04-06,2027-04-09,ON_TIME,0.00,0.00
STP5144,EMP201,ENT002,C. Miller,2027-04-07,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-04-09,2027-04-13,2027-04-16,ON_TIME,0.00,0.00
STP5145,EMP201,ENT002,C. Miller,2027-04-14,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-04-16,2027-04-20,2027-04-23,ON_TIME,0.00,0.00
STP5146,EMP201,ENT002,C. Miller,2027-04-21,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-04-23,2027-04-28,2027-05-03,ON_TIME,0.00,0.00
STP5147,EMP201,ENT002,C. Miller,2027-04-28,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-04-30,2027-05-04,2027-05-07,ON_TIME,0.00,0.00
STP5148,EMP201,ENT002,C. Miller,2027-05-05,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-05-07,2027-05-19,2027-05-14,LATE_BREACH,0.40,0.25
STP5149,EMP201,ENT002,C. Miller,2027-05-12,1307.69,1307.69,156.92,19323234999001,AustralianSuper,2027-05-14,2027-05-18,2027-05-21,ON_TIME,0.00,0.00
